version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Team G10,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Đo artifact starter trước tối ưu,Prompt chủ động đoán dữ liệu sẽ gây sai boundary và routing,base_case_accuracy,,0.70,runs/v0_B_base_openrouter_20260729T150801391895.json
v1,Team G10,artifacts/system_prompt.md (tools snapshot khác v0),v1+p2121ab09bf22+t011c271ef0bb,2121ab09bf2219ef262dce00ac4d5068553854f4ba890994d907fea48388902b,011c271ef0bbad1e19a5d7b660b2ed481b7d72950f1faa8a0798c3bdd8784ee1,Sửa missing-info và confirmation boundary,Không đoán handle/URL và hỏi yes-no trước action sẽ loại phần lớn lỗi baseline,base_case_accuracy,0.70,0.95,runs/v1_B_base_openrouter_20260729T152202231033.json
v2,Team G10,artifacts/tools.yaml + tools/source_audit,v2+p2121ab09bf22+t84a3f7ce2333,2121ab09bf2219ef262dce00ac4d5068553854f4ba890994d907fea48388902b,84a3f7ce23330e12a74a892aa97fda1d2263d2845f336fe57f83bba1dda77dfd,Làm rõ routing ngay trên tool interface và thêm tool mới,Mô tả fetch/clarify có boundary cụ thể sẽ sửa lỗi hỏi lại dù URL đã có,base_case_accuracy,0.95,1.00,runs/v2_B_base_openrouter_20260729T152420023512.json
v3,Team G10,artifacts/system_prompt.md,v3+pc0e57b1c7965+t84a3f7ce2333,c0e57b1c796555267ad661ccd5495f41c6bf66e1aed3cc38a11498b2e4301a4f,84a3f7ce23330e12a74a892aa97fda1d2263d2845f336fe57f83bba1dda77dfd,Làm rõ intent precedence confirmation state và strict out-of-scope refusal,Explicit intent confirmation và refusal không kèm lời giải sẽ sửa group failures lẫn lỗi manual review mà không regression base,group_case_accuracy,0.70,1.00,runs/v3_B_group_openrouter_20260729T162735813711.json
